"","Country.Name","Time","Region","Polity","Polity.Sim","Pub.Opinion","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"106","Philippines",2009,1,8,15,67.1562794585505,0,1,168334599538.168,1.14833040819052,51.2963052378433,227.454,3.0038680449,55984122000
"107","Philippines",2010,1,8,15,57.225417600598,0,1,199590774784.581,7.63226391622599,78.8215287854846,460.194054824,2.7599268876,65302509000
"108","Philippines",2011,1,8,15,60.7554133784646,0,1,224143083706.777,3.65975513887875,73.6433251788126,470.003413890059,3,66063285000
"109","Philippines",2012,1,8,15,59.3689834178104,0,1,250092093547.532,6.68381023689122,91.6928787100648,533.283614656041,3.3,69371698000
"110","Philippines",2013,1,8,15,48,0,1,271836123723.678,7.06403293901505,79.9453203728384,325.682352,3.4,66202034000
"111","Philippines",2014,1,8,15,38,0,1,284834199296.32,6.21842575154629,91.9273986925989,457.157088,3.5,77103536000
"112","Philippines",2015,1,8,15,54,979.1,1,292451392606.609,5.9050145623096,81.66141315704,484.190968,3.22093564033508,77725096000
"113","Poland",2008,3,10,17,33,0,1,533815789473.684,4.24964529542027,17.0125147646044,78.921,2.62143595833333,182527550922.013
"114","Poland",2009,3,10,17,43,0,1,439796160379.475,2.8202219315681,34.3253406009147,55.475,2.8165188602,188541727188.881
"115","Poland",2010,3,10,17,46,0,1,479321128909.23,3.60696045902786,39.7866750489346,76.606040095,3.2586595758,149058965539.218
"116","Poland",2011,3,10,17,51,0,1,528828473066.019,5.01661596197876,26.1416011128322,39.4180038679561,3.4,175065306355.024
"117","Poland",2012,3,10,17,50,0,1,500344281382.345,1.60663717006567,35.4572614500276,91.8311627817047,3.5,253160101209.194
"118","Poland",2013,3,10,17,43,0,1,524214789307.993,1.39082553263614,39.0188438349885,97.64576278,3.7,136884716697.663
"119","Poland",2014,3,10,17,32,0,1,545158979236.012,3.28257009347972,30.9809865439052,120.85182858,4,194805771653.641
"120","Poland",2015,3,10,17,40,831.8,1,477066454436.928,3.94091076226562,28.8784882522513,120.016465876,4.02132478290134,166140864109.545
"121","Russian Federation",2008,3,4,11,60,0,1,1660844408499.61,5.24795353223386,74.5589502807427,2399.593,3.74796740598059,419280877000
"122","Russian Federation",2009,3,4,11,58,0,1,1222643696991.85,-7.82088502693726,62.3023642843905,2305.548,3.5491132554,406431158000
"123","Russian Federation",2010,3,4,11,60,0,1,1524915341870.26,4.50372562577255,62.3835005052322,3531.583,3.6574014134,417891602000
"124","Russian Federation",2011,3,4,11,63,0,1,2031768558633.76,4.26417656490521,38.5651587465696,3900.12005,3.7,544357733000
"125","Russian Federation",2012,3,4,11,62,0,1,2170143623038.25,3.51794186537009,38.0316058918028,4132.144,3.7,591835361000
"126","Russian Federation",2013,3,4,11,62,0,1,2230625004654.86,1.27945391093247,34.548909762591,4249.26882,3.9,668508338000
"127","Russian Federation",2014,3,4,11,64,0,1,2063662281004.85,0.731458212008192,18.7010579954043,4413.55935,3.9,549630538000
"128","Russian Federation",2015,3,4,11,79,6536.2,1,1365865245098.8,-2.82824081352503,28.7903774849732,4761.04707,3.93831980441758,467719708000
"129","South Africa",2008,2,9,16,37,0,1,286769850239.675,3.19104388778322,168.323127273168,760.889,4.40377125343883,69960358000
"130","South Africa",2009,2,9,16,43.4254229618855,0,1,295936471258.128,-1.5380891347741,269.998404253141,676.413,4.6620694482,79017426000
"131","South Africa",2010,2,9,16,52.0449055712987,0,1,375349396273.835,3.03973462503471,246.438960388034,1025.562,4.7451007624,108391607000
"132","South Africa",2011,2,9,16,49.8060658672578,0,1,416418862155.872,3.28419713479731,189.481601749503,1072.91477981187,4.7,116929482000
"133","South Africa",2012,2,9,16,40.5051996270036,0,1,396342265529.842,2.21325897786599,229.025082345566,1174.66680577935,4.7,144958642000
"134","South Africa",2013,2,9,16,48,0,1,367593603380.597,2.33034225921693,256.482186123309,1122.986468,4.7,139789842000
"135","South Africa",2014,2,9,16,45,0,1,351304928727.413,1.62887154261438,265.846170557049,1042.73626391249,4.9,141102928000
"136","South Africa",2015,2,9,16,52,590.5,1,314571945857.401,1.26465137815678,233.951304206133,885.277990749,4.86988169970336,137887377000
"137","Spain",2008,3,10,17,31,0,1,1634989014208.29,1.11597275474762,58.0035878992875,1306.438,5.04591040322581,377983532888.754
