"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change"
"81",481,"Gabon",216,0,216,0.153,0,10,1101.605934,14262032471,0.077240459,0
"82",482,"Central African Republic",111.4,0,111.4,0.566,0,7,26.521402,1583776760,0.016745669,0
"83",483,"Chad",140.2,0,140.2,0.411,0,5,90.692359,10888798114,0.00832896,0
"84",484,"Congo, Republic of",162,0,162,0.045,0,3,2617.458342,8553154506,0.306022572,0
"85",500,"Uganda",361,0,361,0.332,0,6,85.576275,27856380083,0.003072053,-3.345630228
"86",501,"Kenya",542.8,0,542.8,0.115,0,16,98.654177,63767539357,0.001547091,25.03076856
"87",510,"Tanzania",397.8,0,397.8,0.114,0,10,377.32678,45628247290,0.008269587,-9.856037591
"88",516,"Burundi",154,0,154,0.278,0,6,2.815539,3097324740,0.000909023,0
"89",517,"Rwanda",160.2,0,160.2,0.323,0,4,43.362016,8261034258,0.005248982,0
"90",520,"Somalia ",44.2,0,44.2,0.001,0,12,24.67694,5.93e+09,0.004164884,0
"91",522,"Djibouti",31.8,0,31.8,0.09,0,11,0.898189,1.73e+09,0.000520086,0
"92",540,"Angola",740.1,0,740.1,0.09,0,5,15983.15882,1.02962e+11,0.1552332,0
"93",541,"Mozambique",227.2,0,227.2,0.057,0,12,451.977248,14798399862,0.030542305,0
"94",551,"Zambia",978.2,0,978.2,0.013,0,14,1820.76966,21154394546,0.086070516,0
"95",552,"Zimbabwe",706.8,0,706.8,0.95,0,11,766.412457,16072380200,0.047685063,0
"96",553,"Malawi",138.8,0,138.8,0.348,0,13,29.577922,6373201160,0.004640984,0
"97",560,"South Africa",3051.2,0,3051.2,0.235,0,16,50625.41731,3.17407e+11,0.159497056,0
"98",560,"South Africa",3051.2,0,3051.2,0.235,0,16,15354.25054,3.17407e+11,0.048374075,15
"99",565,"Namibia",191.1,0,191.1,0.206,0,13,213.380229,11491507356,0.018568515,0
"100",570,"Lesotho",69.8,0,69.8,0.068,0,15,12.002781,2335194894,0.005139948,0
"101",571,"Botswana",197.2,0,197.2,0.132,0,15,143.827751,14430608463,0.009966853,0
"102",572,"Swaziland",78.5,0,78.5,0.056,0,-2,0.289264,4137638727,6.99e-05,0
"103",580,"Madagascar",244.4,0,244.4,0.689,0,13,177.628572,9738652322,0.018239543,0
