"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"186","Mexico",2009,39,5,9,16,0,0,894948748436.748,-4.70033886285106,39.3369386364231,714.057,3.6729288784,193342946000
"187","Mexico",2010,39,5,9,16,0,0,1051128603513.77,5.11019848994358,43.2245130121271,908.948170756014,3.7212821581,245906481000
"188","Mexico",2011,39,5,9,16,0,0,1171187519660.64,4.04461387888595,34.895336838837,774.603519631098,4,291784444000
"189","Mexico",2012,40,5,9,16,0,0,1186598324461.82,4.01817386885878,44.2488978094703,763.886260561117,4.3,349269385000
"190","Mexico",2013,45,5,9,16,0,0,1261981728468.52,1.36007714397567,41.6817159974531,677.139988908,4.4,406227125000
"191","Mexico",2014,43,5,9,16,0,0,1298175699755.5,2.2453085669359,36.9938614696339,617.529552725,4.3,441563804000
"192","Mexico",2015,47,5,9,16,0,0,1143793184190.1,2.46495592537053,35.1683578430158,713.985466636,4.30643171158071,426334055000
"193","Nigeria",2008,NA,2,4,11,0,0,208064753766.47,6.27026369732737,23.0996740822064,10.036,2.62044767127728,13128901000
"194","Nigeria",2009,NA,2,4,11,0,0,169481317540.364,6.9344160039274,19.0129510837238,7.966,2.8024368643,15942066000
"195","Nigeria",2010,76,2,4,11,0,0,367127872791.052,7.83973947709083,13.7680638671551,0,2.9841050136,15484219000
"196","Nigeria",2011,NA,2,4,11,0,0,408707161460.004,4.88738661141308,9.54923076478055,0,3.3,17663308000
"197","Nigeria",2012,NA,2,4,11,0,0,457061382523.294,4.2792773138933,12.2970791559131,0,3.6,18127298000
"198","Nigeria",2013,76,2,4,11,0,0,508696794976.452,5.39441631089463,15.846354998901,12.1983521811429,3.4,21143713000
"199","Nigeria",2014,70,2,4,11,0,0,546682344735.565,6.30971825251392,11.4813127960737,12.1983521811429,3.2,24755955000
"200","Nigeria",2015,70,2,7,14,0,0,486792837970.54,2.65269362304348,10.2659439708158,22.4006579339246,2.97866837084293,29029206000
"201","Pakistan",2008,76,1,5,12,0,1,170077814106.305,1.7014054654513,13.7313853207232,319.796,3.70078756379928,49523536000
"202","Pakistan",2009,84,1,5,12,0,1,168152775283.032,2.83165851919991,18.9631006365066,303.905,3.9621176605,56339767000
