"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change","Relevant.Subscription","s2un","s3un"
"98",560,"South Africa",3051.2,0,3051.2,0.235,0,16,15354250540,317407,0.0483740136165869,15,0,0.96721,0.81333
"99",565,"Namibia",191.1,0,191.1,0.206,0,13,213380229,11491.507356,0.0185685151990604,0,0,1,0.85333
"100",570,"Lesotho",69.8,0,69.8,0.068,0,15,12002781,2335.194894,0.00513994828904418,0,0,1,0.87879
"101",571,"Botswana",197.2,0,197.2,0.132,0,15,143827751,14430.608463,0.00996685284399293,0,0,0.90476,0.80822
"102",572,"Swaziland",78.5,0,78.5,0.056,0,-2,289264,4137.638727,6.99104052058531e-05,0,0,1,0.82759
"103",580,"Madagascar",244.4,0,244.4,0.689,0,13,177628572,9738.652322,0.0182395434323834,0,0,0.86047,0.62903
"104",581,"Comoros",17.8,0,17.8,0.078,0,16,22210,565.6897646,3.9261802828808e-05,0,0,0.92593,0.8125
"105",590,"Mauritius",142.2,0,142.2,0.191,0,17,15415827,11681.761261,0.00131964920833182,0,0,0.93651,0.82432
"106",600,"Morocco",894.4,0,894.4,0.005,0,3,528702444,100593,0.00525585720676389,0,0,0.9375,0.83784
"107",615,"Algeria",1959.9,0,1959.9,0.39,0,9,780766938,164779,0.00473826724279186,0,0,0.96875,0.86667
"108",616,"Tunisia",545.2,0,545.2,0.034,0,14,184948952,43156.606852,0.00428553043185852,-0.24242822,0,0.90625,0.7973
"109",626,"South Sudan, Republic of",246,0,246,1.18,0,3,2321915029,9015.221096,0.257554973336175,0,0,0.6,0.34483
"110",630,"Iran, Islamic Republic of",3567.1,1580.8,1986.3,1.179,1,0,16013245410,393436,0.0407010172175398,0,4017.93430189408,1,0.875
"111",640,"Turkey",4658.6,2609.9,2048.7,1.202,1,10,2953899282,859384,0.00343722862189661,-6,3036.94274038148,0.57143,0.44595
"112",645,"Iraq ",1663.8,0,1663.8,0.202,0,13,12656330890,179640,0.0704538571030951,0,0,0.9697,0.88
"113",651,"Egypt",2037.1,650.5,1386.6,0.737,1,3,910427770,332698,0.00273649907724122,-4.429691335,1955.22666201781,0.96875,0.88
"114",660,"Lebanon",633.5,0,633.5,0.344,0,13,17376109,47084.703151,0.000369039366018196,2,0,0.96774,0.83784
"115",663,"Jordan",343.1,119.2,223.9,0.059,1,4,287489731,37517.410282,0.00766283517010051,-11,3177.19157863061,0.93846,0.84
"116",666,"Israel",1920.9,749.9,1171,3.147,1,13,2804196450,299416,0.00936555311005424,3.541577165,2504.54217543485,-0.58621,-0.41333
"117",670,"Saudi Arabia",9992.6,2544.6,7448,0.526,1,-3,30155464150,654270,0.046090244318095,0,3889.22004676968,0.96774,0.82667
"118",679,"Yemen, Republic of",487,0,487,0.493,0,7,887718394,37733.919936,0.0235257401167344,0,0,NA,NA
"119",690,"Kuwait",1933.5,536,1397.5,0.547,1,0,7478746484,114041,0.0655794537403215,0,4700.06401206584,0.96825,0.86486
"120",692,"Bahrain",395,0,395,0.239,0,-3,111593512,31125.851064,0.00358523568626429,0,0,0.93846,0.85333
"121",694,"Qatar",735.1,604.4,130.7,0.446,1,-3,4594712680,164641,0.0279074633900426,0,3671.01754726951,0.96875,0.85333
"122",696,"United Arab Emirates",2311.2,1185.7,1125.5,0.245,0,-1,11280423080,357949,0.0315140511078394,0,3312.48306322968,0.93846,0.85333
"123",698,"Oman",544.4,259.2,285.2,0.69,0,-1,15052245280,69831.770996,0.215550100839662,0,3711.7775520092,0.9697,0.89333
"124",700,"Afghanistan, Islamic Republic of",323.8,0,323.8,0.11,0,6,11996206,19702.986341,0.000608852170548231,0,0,0.93939,0.85135
"125",701,"Turkmenistan",238.6,0,238.6,0.146,0,-1,7827597828,35799.628571,0.218650252543147,0,0,0.96078,0.83051
"126",702,"Tajikistan",174,30.9,143.1,0.047,1,4,50200406,7853.450374,0.00639214658644763,0,3934.57633631951,0.96774,0.84722
"127",703,"Kyrgyz Republic",177.6,26.8,150.8,0.163,0,14,56487448,6678.17834,0.00845851145688332,0,4013.07042662775,0.96721,0.83562
"128",704,"Uzbekistan",551.2,219.8,331.4,0.401,0,-2,1266779170,66903.804143,0.0189343369368413,0,3285.31393417032,0.96429,0.85294
"129",705,"Kazakhstan",1158.4,729.3,429.1,0.322,0,1,5839999133,184388,0.0316723384005467,0,3955.24654532833,0.93651,0.82432
"130",712,"Mongolia",72.3,41.1,31.2,0.258,1,17,3752770181,11741.338841,0.319620294739776,0,3500.45259374352,0.93548,0.81944
"131",732,"Korea",8582.7,3738.7,4844,1.423,1,15,174288626000,1382760,0.126044017761578,13,2703.79530793485,0.56098,0.37681
"132",740,"Japan",30820.5,0,30820.5,1.452,0,17,142715663300,4383080,0.0325605882849503,-5,0,0.5,0.36
"133",750,"India",13114.4,8367.3,4747.1,0.039,1,16,13394902780,2111750,0.00634303434592163,-25.98278863,3962.258790103,0.9661,0.81081
"134",760,"Bhutan",20.4,0,20.4,0.075,0,12,350067,2057.947621,0.000170104912500103,0,0,0.93548,0.82192
